epoch,train_loss,val_loss,val_auc
1.0,0.1596584311920627,0.1998791791752282,0.9782150974394122
2.0,0.08638328500459597,0.11799016367056578,0.9903538257631116
3.0,0.061217720873036376,0.0684900183940483,0.986863947669467
4.0,0.046504094372072334,0.08025241717951956,0.9886615498586412
5.0,0.04760543321092536,0.08267547120461734,0.9894068971078108
6.0,0.03479336364590038,0.07824918998368886,0.9826902046555225
7.0,0.039263820510026505,0.09291934980690765,0.9847080345308948
8.0,0.02653558977200236,0.13073138686154595,0.9902885637828767
9.0,0.026493118219693263,0.07943381698897987,0.9891740705837293
10.0,0.023703799841769593,0.07940076855626958,0.9905095473993478
11.0,0.03274171911387542,0.08201860443710676,0.9890117975517938
12.0,0.02277891442486445,0.07576361172723044,0.9899632617887326
13.0,0.020908157809140814,0.0731786060139483,0.9886361002061171
14.0,0.020997617630090018,0.0630415657979262,0.9886418956715434
15.0,0.01651889796869236,0.09495688952961256,0.9891733146534564
